category,code,title,Sem No,,,,,
Open Elective 1 (OE1),20OE4004M,PATENT LAW FOR ENGINEERS AND SCIENTISTS,,NOT OFFERED,,,,
Open Elective 1 (OE1),18OE4002M,PHOTOGRAPHY BASICS AND BEYOND FROM SMART PHONE TO DSLR,,NOT OFFERED,,,,
Open Elective 2 (OE2),20CE40A2,ENVIRONMENTAL POLLUTION CONTROL METHODS,,NOT OFFERED,,,,
Open Elective 2 (OE2),20CE40A3,SOLID AND HAZARDOUS WASTE MANAGEMENT,,NOT OFFERED,,,,
Open Elective 2 (OE2),20CE40A4,REMOTE SENSING & GIS,"4,7",YES,,,,
Open Elective 2 (OE2),20CE40A5,DISASTER MANAGEMENT,,NOT OFFERED,,,,
Open Elective 2 (OE2),20OE4004M,SELF DRIVING CARS,,,,,,
Open Elective 2 (OE2),20OE4224M,SELF DRIVING CARS,,NOT OFFERED,,,,
Open Elective 2 (OE2),OEEE4224M,SELF DRIVING CARS,7,YES,,,,
Open Elective 2 (OE2),20OE4005M,"ENERGY PRODUCTION, DISTRIBUTION & SAFETY",,NOT OFFERED,,,,
Open Elective 2 (OE2),20OE4221M,CONSTRUCTION MANAGEMENT,,,,,,
Open Elective 2 (OE2),20OE4007M,GEOGRAPHIC INFORMATION SYSTEMS,,NOT OFFERED,,,,
Open Elective 2 (OE2),OECE5223M,GEOGRAPHIC INFORMATION SYSTEMS,,NOT OFFERED,,,,
Open Elective 2 (OE2),20OE4008M,NON-CONVENTIONAL ENERGY RESOURCES,,NOT OFFERED,,,,
Open Elective 3 (OE3),20ME40B7,HYBRID ELECTRIC VEHICLES,,NOT OFFERED,,,,
Open Elective 3 (OE3),20OE4232M,LEADING SUSTAINABLE COMMUNITY TRANSFORMATION,,NOT OFFERED,,,,
Open Elective 3 (OE3),20OE4010M,DIGITAL MARKETING,,,,,,
Open Elective 3 (OE3),20OE4231M,DIGITAL MARKETING,,NOT OFFERED,,,,
Open Elective 3 (OE3),20ME40B4,DIGITAL MARKETING,8,YES,,,,
Open Elective 3 (OE3),20ME40B5,MECHATRONICS,6,YES,,,,
Open Elective 3 (OE3),20ME40B6,EDUCATION FOR SUSTAINABLE DEVELOPMENT,,NOT OFFERED,,,,
Open Elective 3 (OE3),20UC0011,ENTREPRENEURSHIP,,NOT OFFERED,,,,
Open Elective 3 (OE3),20OE4234M,INNOVATION MANAGEMENT,,NOT OFFERED,,,,
Foreign Language Elective (FLE),20FL3054,FRENCH LANGUAGE,,NOT OFFERED,,,,
Foreign Language Elective (FLE),20FL3055,GERMAN LANGUAGE,7,YES,,,,
Foreign Language Elective (FLE),20FL3052M,LEARN SPANISH: BASIC SPANISH VOCABULARY,4,YES,,,,
Foreign Language Elective (FLE),20FL3060M,RUSSIAN FOR BEGINNERS,7,YES,,,,
Foreign Language Elective (FLE),20FL3063M,MANDARIN LANGUAGE,7,YES,,,,
Foreign Language Elective (FLE),18FL3064M,JAPANESE LANGUAGE,,NOT OFFERED,,,,
Foreign Language Elective (FLE),20FL3062M,SPANISH LANGUAGE,,NOT OFFERED,,,,
Foreign Language Elective (FLE),20FL3058M,JAPANESE LANGUAGE,,NOT OFFERED,,,,
Foreign Language Elective (FLE),20FL3053M,LEARN CHINESE: HSK TEST PREPARATION,7,yes,,,,
Management Elective (ME),20MB4053,MANAGING PERSONAL FINANCES,7,yes,,,,
Management Elective (ME),20MB4055,ORGANIZATION MANAGEMENT,7,yes,,,,
Management Elective (ME),20MB4058M,SIX SIGMA YELLOW BELT,,NOT OFFERED,,,,
Management Elective (ME),20MB4059M,SEARCH ENGINE OPTIMIZATION,7,YES,,,,
Management Elective (ME),20MB4060M,FINTECH:FINANCE INDUSTRY TRANSFORMATION AND REGULATION,7,yes,,,,
Management Elective (ME),20MB4061M,AN INTRODUCTION TO MICROECONOMICS,3,YES,,,,
Audit Courses (AUD),20UC0008,INDIAN CONSTITUTION,,,,,,
Audit Courses (AUD),20UC0007,INDIAN HERITAGE & CULTURE,,CSE,,,,
Audit Courses (AUD),18UC0009M,ECOLOGY & ENVIRONMENT,,OEGN0008,,,,
Audit Courses (AUD),20UC0009,ECOLOGY & ENVIRONMENT,,,,,,
Audit Courses (AUD),20UC0009M,ECOLOGY & ENVIRONMENT,5,,,,,
Placement Training Courses (PTC),20CS3EL01A,COMPETITIVE CODING TRAINING-LEVEL 1,5,,,,,
Placement Training Courses (PTC),20CS3EL02A,COMPETITIVE CODING TRAINING-LEVEL 2,5,,,,,
Value Added Courses (VAC),20CC3000,AWS CERTIFIED CLOUD PRACTITIONER (CLF-C01),5,,,,,
Value Added Courses (VAC),20CC3010,MICROSOFT CERTIFIED: AZURE DEVELOPER ASSOCIATE (AZ-204),5,,,,,
Value Added Courses (VAC),20CC3011,MICROSOFT CERTIFIED: AZURE FUNDAMENTALS (AZ-900),5,,,,,
Value Added Courses (VAC),20CC3020,MONGODB CERTIFIED DBA ASSOCIATE LEVEL (C100DBA),5,,,,, 
Value Added Courses (VAC),20CC3021,MONGODB CERTIFIED DEVELOPER ASSOCIATE (C100DEV),5,,,,,
Value Added Courses (VAC),20CC3040,RED HAT CERTIFIED ENTERPRISE APPLICATION DEVELOPER,5,,,,,
Value Added Courses (VAC),20CC3001,AWS CERTIFIED DEVELOPER ASSOCIATE,5,,,,,
Value Added Courses (VAC),20CC3002,AWS CERTIFIED SOLUTIONS ARCHITECT ASSOCIATE,,,,,,
Value Added Courses (VAC),20CC3012,MICROSOFT CERTIFIED: AZURE AI FUNDAMENTALS (AI-900),,,,,,
Value Added Courses (VAC),20CC3030,CODECHEF CERTIFIED DSA(CCDSAP-FOUNDATION LEVEL),,,,,,
Value Added Courses (VAC),20CC3223,PCAP™ – CERTIFIED ASSOCIATE IN PYTHON PROGRAMMING,,,,,,
Value Added Courses (VAC),20CC3224,C++ CERTIFIED ASSOCIATE PROGRAMMER (CPA),,,,,,
Value Added Courses (VAC),20CC3225,C PROGRAMMING LANGUAGE CERTIFIED ASSOCIATE (CLA),,,,,,
Value Added Courses (VAC),20CC3226,CODECHEF CERTIFIED DATA STRUCTURE & ALGORITHMS PROGRAMME,,,,,,
Value Added Courses (VAC),20CC3063,WIPRO TALENT NEXT JAVA FULL STACK CERTIFICATION,,,,,,
Value Added Courses (VAC),20CC3062,WIPRO TALENT NEXT J2EE CERTIFICATION,,,,,,
Value Added Courses (VAC),20CC3015,TENSORFLOW DEVELOPER CERTIFICATE,,,,,,
Value Added Courses (VAC),20CC3227,SERVICENOW CERTIFIED SYSTEM ADMINISTRATOR,,,,,,
Value Added Courses (VAC),20CC3228,SERVICENOW CERTIFIED DEVELOPER,,,,,,
Value Added Courses (VAC),20CC3229,SALESFORCE ADMINISTRATOR CERTIFICATION EXAM (CRT101),,,,,,
Value Added Courses (VAC),20CC3230,SALESFORCE DEVELOPER CERTIFICATION EXAM,,,,,,
Value Added Courses (VAC),20CC3231,PEGA CERTIFIED SYSTEM ARCHITECT,,,,,,
Value Added Courses (VAC),20CC3232,PEGA CERTIFIED SENIOR SYSTEM ARCHITECT,,,,,,
Value Added Courses (VAC),20CC3058,PALO ALTO NETWORKS CERTIFIED CYBERSECURITY ENTRY-LEVEL TECHNICIAN (PCCET),,,,,,
Value Added Courses (VAC),20CC3233,ORACLE CLOUD INFRASTRUCTURE CERTIFICATION,,,,,,
Value Added Courses (VAC),20CC3234,MULESOFT CERTIFIED DEVELOPER,,,,,,
Value Added Courses (VAC),20CC3235,MONGODB ASSOCIATE DBA EXAM,,,,,,
Value Added Courses (VAC),20CC3016,MONGODB ASSOCIATE DEVELOPER EXAM,,,,,,
Value Added Courses (VAC),20CC3236,MICROSOFT CERTIFIED: DEVOPS ENGINEER EXPERT (AZ-400),,,,,,
Value Added Courses (VAC),20CC3237,MICROSOFT CERTIFIED: AZURE SOLUTIONS ARCHITECT EXPERT,,,,,,
Value Added Courses (VAC),20CC3238,MICROSOFT CERTIFIED: AZURE AI ENGINEER ASSOCIATE,,,,,,
Value Added Courses (VAC),20CC3239,MICROSOFT CERTIFIED: AZURE NETWORK ENGINEER ASSOCIATE,,,,,,
Value Added Courses (VAC),20CC3240,MICROSOFT CERTIFIED: AZURE SECURITY ENGINEER ASSOCIATE,,,,,,
Value Added Courses (VAC),20CC3241,MICROSOFT CERTIFIED: AZURE DATA ENGINEER ASSOCIATE,,,,,,
Value Added Courses (VAC),20CC3061,"JUNIPER NETWORKS CERTIFIED ASSOCIATE, JUNOS(JNCIA-JUNOS)",,,,,,
Value Added Courses (VAC),20CC3242,GOOGLE CLOUD ASSOCIATE CLOUD ENGINEER (GCP-ACE),,,,,,
Value Added Courses (VAC),20CC3243,CAMBRIDGE ASSESSMENT ENGLISH BEC-PRELIMINARY,,,,,,
Value Added Courses (VAC),20CC3244,AWS CERTIFIED SOLUTIONS ARCHITECT - ASSOCIATE (AWS-SAA),,,,,,
Value Added Courses (VAC),20CC3010,AWS CERTIFIED DEVELOPER - ASSOCIATE (AWS-DA),,,,,,
Value Added Courses (VAC),20CC3000,AWS CERTIFIED CLOUD PRACTITIONER (AWS-CP),,,,,,
Value Added Courses (VAC),20CC3245,AWS CERTIFIED MACHINE LEARNING SPECIALITY,,,,,,
Value Added Courses (VAC),20CC3246,AWS CERTIFIED DATABASE SPECIALITY,,,,,,
Value Added Courses (VAC),20CC3247,AWS CERTIFIED SECURITY SPECIALITY,,,,,,
Value Added Courses (VAC),20CC3248,AWS CERTIFIED DATA ANALYTICS SPECIALITY,,,,,,
Value Added Courses (VAC),20CC3249,AWS CERTIFIED ADVANCED NETWORKING SPECIALITY,,,,,,
Value Added Courses (VAC),20CC3250,AWS CERTIFIED DEVOPS ENGINEER PROFESSIONAL,,,,,,
Value Added Courses (VAC),20CC3251,AWS CERTIFIED SOLUTIONS ARCHITECT PROFESSIONAL,,20CC3017,,,,
Value Added Courses (VAC),20CC3252,AVIATRIX CERTIFIED ENGINEER MULTI-CLOUD NETWORKING ASSOCIATE (ACE-MCNA),,,,,,
Value Added Courses (VAC),20CC3253,CERTIFIED ETHICAL HACKER (CEH),,,,,,
Value Added Courses (VAC),20CC3254,AUTOMATION ANYWHERE RPA CERTIFICATION,3,,,,,
Value Added Courses (VAC),20CC3255,PEN-200 | PENETRATION TESTING| OFFENSIVE SECURITY CERTIFICATION,,,,,,
SOCIAL WORK,UC0015,SOCIAL WORK,,,,,,
SPC,20SP2117,SPORTS CERTIFICATION (YOGA),,,,,,
SOCIAL WORK,21GN40D1,NCC,,,,,,
